SEKTOR,SUBSEKTOR,MSIC_5D
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43110
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43121
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43122
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43123
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43124
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43125
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43126
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43129
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43211
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43212
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43213
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43214
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43215
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43216
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43219
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43221
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43222
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43223
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43224
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43225
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43226
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43227
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43228
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43229
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43291
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43292
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43293
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43294
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43295
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43299
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43301
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43302
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43303
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43304
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43305
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43306
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43307
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43309
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43901
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43902
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43903
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43904
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43905
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43906
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43907
PEMBINAAN,AKTIVITI PERTUKANGAN KHAS,43909
PEMBINAAN,BANGUNAN BUKAN KEDIAMAN,41002
PEMBINAAN,BANGUNAN BUKAN KEDIAMAN,41003
PEMBINAAN,BANGUNAN BUKAN KEDIAMAN,41009
PEMBINAAN,BANGUNAN KEDIAMAN,41001
PEMBINAAN,KEJURUTERAAN AWAM,42101
PEMBINAAN,KEJURUTERAAN AWAM,42102
PEMBINAAN,KEJURUTERAAN AWAM,42103
PEMBINAAN,KEJURUTERAAN AWAM,42104
PEMBINAAN,KEJURUTERAAN AWAM,42105
PEMBINAAN,KEJURUTERAAN AWAM,42106
PEMBINAAN,KEJURUTERAAN AWAM,42109
PEMBINAAN,KEJURUTERAAN AWAM,42201
PEMBINAAN,KEJURUTERAAN AWAM,42202
PEMBINAAN,KEJURUTERAAN AWAM,42203
PEMBINAAN,KEJURUTERAAN AWAM,42204
PEMBINAAN,KEJURUTERAAN AWAM,42205
PEMBINAAN,KEJURUTERAAN AWAM,42206
PEMBINAAN,KEJURUTERAAN AWAM,42207
PEMBINAAN,KEJURUTERAAN AWAM,42209
PEMBINAAN,KEJURUTERAAN AWAM,42901
PEMBINAAN,KEJURUTERAAN AWAM,42902
PEMBINAAN,KEJURUTERAAN AWAM,42903
PEMBINAAN,KEJURUTERAAN AWAM,42904
PEMBINAAN,KEJURUTERAAN AWAM,42905
PEMBINAAN,KEJURUTERAAN AWAM,42906
PEMBINAAN,KEJURUTERAAN AWAM,42909
PEMBUATAN,MINUMAN DAN PRODUK TEMBAKAU,11010
PEMBUATAN,MINUMAN DAN PRODUK TEMBAKAU,11020
PEMBUATAN,MINUMAN DAN PRODUK TEMBAKAU,11030
PEMBUATAN,MINUMAN DAN PRODUK TEMBAKAU,11041
PEMBUATAN,MINUMAN DAN PRODUK TEMBAKAU,11042
PEMBUATAN,MINUMAN DAN PRODUK TEMBAKAU,12000
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",29101
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",29102
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",29200
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",29300
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",30110
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",30120
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",30200
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",30300
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",30400
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",30910
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",30920
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",30990
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32110
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32120
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32200
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32300
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32400
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32500
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32901
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32909
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33110
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33120
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33131
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33132
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33133
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33140
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33150
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33190
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33200
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26101
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26102
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26103
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26104
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26105
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26109
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26201
